SalePrice,Lot_Area,Gr_Liv_Area,Total_Bsmt_SF,Garage_Area,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,MS_Zoning,Neighborhood,House_Style,Foundation,Exter_Qual,Kitchen_Qual,Bsmt_Qual,Garage_Finish,Lot_Frontage,Mas_Vnr_Area,Garage_Yr_Blt,Pool_QC,Fence,Alley
137948,19889.0,1182.0,673,243,1938,1978,5,5,4,3,7,RL,Blmngtn,2Story,PConc,Gd,Gd,TA,NA,73.6780210211394,94.50082343657556,1934.0,NA,NA,NA
137820,8267.0,1604.0,538,939,1968,1977,1,5,2,3,6,RL,Veenker,2Story,PConc,Gd,Gd,Gd,RFn,95.44766980752638,270.9292599411671,1951.0,NA,NA,NA
182916,16063.0,1680.0,1198,637,1890,1965,8,5,2,3,11,RL,NoRidge,2Story,PConc,Gd,Gd,Gd,RFn,84.2590935992486,332.22219089766566,1969.0,NA,NA,NA
77241,9756.0,1044.0,1254,411,1933,1963,5,2,1,3,5,RM,Timber,2Story,PConc,Gd,Gd,Gd,RFn,84.1154540442638,250.12369788786395,1998.0,NA,NA,NA
83285,13285.0,2135.0,1160,295,1969,2001,7,6,2,2,13,FV,Gilbert,1Story,PConc,Fa,Ex,Ex,RFn,42.346096769085676,470.9066320835368,1925.0,NA,NA,NA
132599,5493.0,1009.0,194,427,1928,1951,2,5,3,2,8,RL,Blmngtn,SFoyer,CBlock,Gd,Gd,TA,Fin,83.07079656416668,213.4534567404406,1914.0,NA,NA,NA
110731,11511.0,691.0,653,382,1966,2005,7,5,2,3,12,RL,CollgCr,1Story,PConc,TA,TA,TA,Fin,,92.19053355863726,1904.0,NA,NA,NA
188282,1817.0,1690.0,988,840,1978,1989,6,5,2,3,11,RL,NridgHt,1Story,CBlock,TA,TA,Gd,RFn,,216.81775608638026,1989.0,NA,NA,NA
115472,9777.0,1091.0,1194,204,1959,2010,7,5,3,3,8,RL,NPkVill,2Story,CBlock,Gd,Gd,Gd,RFn,83.80037174571814,100.97820579590591,1932.0,NA,MnPrv,NA
94379,4112.0,1660.0,1306,476,1986,1953,8,5,1,4,5,RL,Blueste,1Story,PConc,TA,TA,TA,Unf,41.09482000365597,229.812550549552,1924.0,NA,NA,NA
298420,22552.0,334.0,1057,446,1990,2001,3,5,2,5,4,C,Blueste,2Story,BrkTil,Gd,Gd,Ex,Fin,73.93509288724476,0.6437853952523044,1980.0,NA,MnPrv,NA
151704,17438.0,2196.0,1132,426,1923,1990,7,8,2,4,5,RL,Blmngtn,1Story,CBlock,Gd,TA,TA,Fin,75.90655834166904,120.09213752732084,1951.0,Gd,NA,NA
170588,14472.0,1836.0,1033,428,1912,2001,7,6,2,3,3,RL,SWISU,2Story,BrkTil,Fa,TA,Gd,Unf,94.96586908816673,218.18010741237592,1943.0,NA,NA,NA
93910,27244.0,749.0,1274,426,1919,1980,6,5,1,2,5,RL,Somerst,SLvl,PConc,Gd,Gd,TA,RFn,57.0781135007398,117.8843008993996,,NA,NA,NA
133552,6189.0,760.0,1125,624,1962,1975,5,5,3,3,5,RM,BrDale,2Story,PConc,Gd,Ex,TA,NA,68.46964180407863,165.90490597740953,2005.0,NA,NA,NA
173575,31207.0,2336.0,1026,571,1910,1976,8,5,2,3,13,RL,Sawyer,1Story,PConc,TA,Gd,TA,RFn,74.24910705090294,105.12306741256197,1955.0,NA,MnPrv,NA
104778,19135.0,1131.0,892,533,1884,2006,10,6,2,4,6,RL,OldTown,SFoyer,PConc,TA,Gd,Gd,RFn,57.080351734099565,208.1602745646763,1965.0,NA,MnPrv,NA
192967,9490.0,1082.0,1032,0,2003,2000,10,6,2,3,2,RH,Mitchel,1Story,BrkTil,TA,TA,TA,Fin,56.62380613753296,174.7984279116347,1907.0,NA,NA,NA
130580,21619.0,366.0,1193,509,1967,1983,8,5,2,3,3,C,Gilbert,1Story,CBlock,TA,Gd,TA,Fin,55.658936001086055,91.91642465914373,1982.0,NA,NA,NA
147756,5632.0,1324.0,1106,118,1980,1980,6,6,2,3,9,RL,MeadowV,1Story,PConc,Ex,Gd,TA,Fin,66.80692417519896,56.46323407116425,1963.0,NA,MnPrv,NA
130524,6669.0,1386.0,1152,579,1975,1997,6,4,1,3,9,RM,Veenker,SFoyer,BrkTil,TA,Gd,Gd,Fin,113.67718046461525,79.40661699718837,1928.0,NA,NA,NA
348331,7591.0,1857.0,1537,744,1969,1960,3,6,2,5,9,RL,NoRidge,1Story,Wood,TA,Gd,Gd,RFn,67.69811434718751,132.52586105578428,1947.0,NA,MnPrv,NA
165148,7963.0,800.0,1106,264,1914,1957,6,5,1,4,6,RL,Blueste,2Story,PConc,Ex,Gd,TA,Unf,82.18849983151975,26.76694987815056,1918.0,Ex,GdPrv,NA
108761,5802.0,739.0,740,397,1959,1961,4,5,2,4,9,RL,NridgHt,1Story,CBlock,TA,Ex,Gd,Fin,70.78982214940612,294.01436888678757,1908.0,NA,NA,NA
230733,22784.0,1725.0,1353,330,1964,1984,5,7,2,3,10,RL,BrkSide,1Story,PConc,Gd,TA,Gd,Fin,62.3118391215835,512.2117857483705,1971.0,NA,NA,NA
101891,9364.0,2003.0,453,697,1997,1994,9,5,2,3,5,FV,BrDale,SLvl,PConc,Ex,Gd,Gd,NA,69.39505744918984,474.8458381051372,1914.0,NA,MnPrv,NA
180510,13514.0,714.0,567,469,1980,1983,10,9,2,1,5,RM,NWAmes,2Story,Slab,Gd,TA,TA,Fin,89.23364025775277,150.0877701657004,1997.0,NA,NA,NA
75821,7768.0,2040.0,1134,795,1918,1962,9,4,4,2,8,RL,SawyerW,2Story,CBlock,TA,TA,Ex,RFn,,252.23732779466565,,NA,MnPrv,NA
97609,3668.0,1518.0,1206,532,1963,1976,5,5,2,1,6,RL,Blmngtn,1Story,CBlock,TA,Ex,Gd,Unf,65.97663676678114,82.59545892640968,1962.0,NA,MnPrv,NA
179646,12862.0,2045.0,501,498,1912,1957,9,6,2,5,12,RM,ClearCr,2Story,PConc,TA,Gd,Ex,Fin,64.13066583887857,32.24259085390413,1990.0,NA,MnPrv,Pave
223102,3472.0,1464.0,846,463,1874,1996,4,1,2,2,11,RL,Sawyer,1.5Fin,CBlock,TA,Gd,Gd,Unf,,83.61966885993493,1937.0,Gd,GdWo,NA
177823,10496.0,334.0,757,613,1992,2005,6,4,1,2,2,RL,BrDale,1Story,PConc,Gd,TA,TA,RFn,96.0022539297276,120.87722221816823,1946.0,NA,NA,NA
158536,4812.0,1424.0,805,102,1948,1970,7,2,1,3,9,RL,Gilbert,2Story,PConc,Gd,Gd,Gd,Fin,58.82659822834082,194.26186921610798,1912.0,NA,NA,NA
147201,36039.0,2030.0,1377,467,1966,1990,6,9,2,3,5,RL,MeadowV,SFoyer,PConc,Fa,Gd,TA,Unf,106.73523824208164,217.38425466724598,1995.0,NA,NA,NA
91912,18898.0,1053.0,1282,435,1884,1960,9,6,2,4,9,FV,BrkSide,1.5Fin,PConc,TA,TA,Gd,RFn,76.11764993473803,52.942839734754486,1998.0,NA,NA,NA
124500,11654.0,1306.0,992,595,1976,1971,6,5,2,2,3,RM,OldTown,1Story,PConc,Gd,TA,TA,RFn,,226.931233066926,1945.0,NA,NA,NA
138101,23347.0,1411.0,781,412,1889,1970,6,4,3,5,13,FV,Gilbert,2Story,CBlock,TA,TA,Gd,RFn,65.0014327443969,179.55737622605233,1935.0,NA,NA,NA
253431,6582.0,334.0,460,242,1908,1977,3,4,2,2,13,RL,ClearCr,2Story,PConc,Gd,Gd,Gd,Fin,,177.36671510310373,1909.0,NA,NA,NA
190507,15155.0,2335.0,1568,451,1926,1952,8,5,3,5,5,RM,NridgHt,1Story,CBlock,Gd,Gd,TA,Fin,96.0806922223311,,1954.0,NA,NA,NA
82025,12331.0,1049.0,1236,233,1923,1956,6,8,3,3,3,RL,Gilbert,2Story,PConc,TA,TA,Gd,Fin,55.97464459780535,296.5142506734828,1922.0,NA,MnPrv,NA
189024,12815.0,1752.0,717,64,1907,1963,7,6,1,3,6,RL,MeadowV,SFoyer,PConc,TA,Gd,Gd,Fin,102.13842046700813,481.9965024130378,1922.0,NA,NA,NA
142339,23468.0,1456.0,1287,595,1985,1964,7,5,3,3,11,RL,Mitchel,SLvl,PConc,Gd,Gd,Ex,Fin,,297.1619538646965,1967.0,NA,NA,NA
126656,16974.0,2128.0,971,565,1923,1958,7,5,1,3,11,FV,NoRidge,1.5Fin,CBlock,Gd,TA,Gd,Fin,,751.6028863682495,,NA,NA,NA
212069,13006.0,1703.0,885,543,1890,2001,6,9,3,3,9,RL,SWISU,1Story,CBlock,Gd,TA,TA,Fin,45.588205038722535,237.18418961192137,1904.0,NA,NA,NA
250797,4052.0,1382.0,1174,710,1963,1992,5,5,2,1,12,RL,Sawyer,SFoyer,PConc,TA,TA,TA,Fin,93.91277203218067,195.2210489833367,1903.0,NA,MnPrv,NA
240990,6148.0,1053.0,703,316,2010,1956,7,8,2,1,8,C,Mitchel,2Story,PConc,Gd,Gd,Gd,RFn,51.43132079874494,144.14723191446487,1929.0,NA,NA,NA
118695,10161.0,1898.0,862,163,1919,1961,10,2,2,5,12,RL,Blmngtn,1Story,CBlock,Fa,Fa,Gd,Fin,10.089376243061025,450.28061026731666,2004.0,NA,NA,Grvl
146724,11568.0,563.0,1048,435,1972,1968,8,6,2,3,6,RM,NWAmes,2Story,PConc,TA,Gd,Ex,RFn,92.39791745581516,84.9384743251596,1951.0,NA,NA,NA
189568,5551.0,1822.0,800,380,1970,1976,4,5,2,4,12,RM,Blueste,1.5Fin,PConc,Gd,Gd,Gd,RFn,69.83995158759741,428.5840561309091,1996.0,NA,GdPrv,NA
245295,46490.0,950.0,1267,281,1918,1967,2,6,3,3,8,RL,Somerst,1Story,PConc,TA,TA,Gd,Unf,94.06035135425482,86.02134400243978,2003.0,NA,NA,NA
137081,27169.0,2126.0,1747,434,1938,1962,6,5,3,3,6,RL,BrkSide,SLvl,PConc,Gd,TA,TA,RFn,72.30032478377498,202.1467568024047,1912.0,NA,GdWo,NA
154158,15697.0,1580.0,698,327,1902,1992,8,3,2,2,8,RL,NridgHt,SLvl,PConc,Gd,Gd,Ex,Unf,70.53688039406214,241.9158017703679,1917.0,NA,NA,NA
106666,11421.0,1822.0,333,82,1947,1950,5,4,2,5,5,C,Gilbert,1Story,PConc,Gd,Gd,TA,RFn,,90.35107088751317,1931.0,NA,NA,NA
102900,9630.0,1540.0,199,361,1879,1987,7,7,2,3,5,RL,Crawfor,SLvl,PConc,Fa,Gd,Gd,Fin,72.95733885921146,200.1449979324869,1932.0,NA,NA,Grvl
229810,6178.0,623.0,939,222,1915,1970,9,5,2,2,11,RL,Crawfor,SLvl,PConc,Gd,Ex,TA,Fin,58.11249414305617,265.8728267901197,1957.0,NA,NA,NA
285642,11458.0,1069.0,734,496,1906,1983,6,9,2,3,5,RL,Gilbert,1Story,PConc,TA,TA,TA,RFn,67.79062210769267,78.72034153540439,1961.0,NA,NA,NA
161328,12767.0,1836.0,1083,318,1885,1962,5,6,2,2,12,RL,Edwards,1Story,BrkTil,Gd,Gd,Gd,RFn,73.94096383563743,80.85400146893662,1970.0,NA,GdWo,NA
248056,5192.0,1583.0,1053,672,1981,1994,9,5,2,4,9,RL,Mitchel,1Story,PConc,Gd,TA,TA,RFn,-1.1163280108113582,675.3903762274659,1913.0,NA,MnPrv,NA
191885,13366.0,2090.0,358,770,1875,2000,6,7,2,2,2,RM,Crawfor,1Story,PConc,TA,Gd,Gd,RFn,82.27762907844294,292.76199263391953,2003.0,NA,NA,NA
128277,9965.0,1701.0,274,585,1983,1990,6,6,1,2,11,RL,Timber,2Story,PConc,TA,Gd,Gd,Fin,103.9726133615516,294.3087656393535,1913.0,NA,NA,NA
191867,3481.0,1016.0,1118,139,1940,2000,6,5,1,2,6,RL,Sawyer,1Story,PConc,Ex,Gd,Ex,Unf,68.77528029478708,115.22599136687388,1909.0,NA,NA,NA
307187,6527.0,1101.0,1054,751,1920,1972,6,3,2,2,13,RL,Mitchel,SLvl,PConc,Gd,Gd,Gd,RFn,59.48105853134759,222.63735770485658,2004.0,NA,NA,NA
163680,8534.0,1551.0,829,765,1926,1950,7,7,2,3,11,RL,BrkSide,SFoyer,PConc,Gd,Gd,Gd,RFn,79.69418796673477,182.8978138880005,1958.0,NA,NA,NA
310474,33948.0,342.0,337,453,1952,1972,6,6,2,3,3,RL,BrkSide,1Story,CBlock,Gd,Gd,Gd,NA,113.5886847734923,71.7371117785786,1938.0,NA,MnPrv,NA
58226,15274.0,2336.0,1188,714,2010,2006,5,6,1,4,11,RL,BrkSide,2Story,CBlock,TA,Gd,Ex,Unf,81.72987155340958,884.1116900555171,2000.0,NA,NA,NA
230674,4908.0,1720.0,1508,339,1986,1977,8,6,2,3,5,RL,SWISU,2Story,CBlock,Gd,TA,Gd,RFn,75.35934119124771,243.20767894752788,1945.0,NA,GdPrv,NA
171925,14641.0,2113.0,1111,76,1946,2008,5,5,2,3,6,RL,MeadowV,2Story,PConc,TA,Gd,Fa,Unf,60.235518783217145,232.58678099994717,1917.0,NA,GdPrv,NA
147325,4322.0,709.0,661,297,1969,1981,5,7,2,3,9,RL,ClearCr,1Story,PConc,TA,Gd,TA,RFn,43.262589882003205,247.18820793049687,1918.0,NA,NA,NA
172250,20944.0,2122.0,1017,795,1998,1957,7,1,1,4,3,RM,NAmes,1Story,PConc,Gd,Gd,Gd,RFn,70.58518957351748,76.57761097434593,2003.0,NA,NA,NA
74979,8244.0,2615.0,453,151,1982,2004,8,5,2,3,3,RL,Mitchel,1Story,CBlock,Gd,Gd,TA,Unf,71.03941901550354,118.84147234490445,2005.0,NA,MnPrv,NA
152075,10340.0,839.0,1423,449,1972,1975,5,3,1,2,3,RL,Blueste,1Story,PConc,Gd,TA,TA,Fin,21.6975683403436,119.23627414602036,2006.0,NA,NA,NA
191538,24233.0,1885.0,1032,456,1985,1963,5,4,0,3,9,RL,Blmngtn,SLvl,CBlock,Gd,TA,Gd,RFn,,250.80404024406775,1936.0,NA,NA,NA
299885,5052.0,1500.0,292,347,1900,1973,7,5,3,3,13,RL,NWAmes,1Story,PConc,TA,Gd,Gd,Fin,98.97153154402048,114.57353933085895,2010.0,Gd,NA,NA
134954,4730.0,727.0,879,361,1933,1997,7,2,1,2,4,RL,Veenker,1Story,PConc,Gd,Gd,TA,RFn,,168.38801323300677,1902.0,NA,NA,NA
120162,7706.0,1746.0,1185,464,1924,1978,6,4,2,4,6,RL,NPkVill,2Story,PConc,TA,Gd,TA,Fin,8.604356705901424,213.89801331050745,1954.0,NA,NA,NA
135848,20394.0,1916.0,866,337,1988,1953,3,5,3,4,3,RL,BrkSide,1Story,PConc,Gd,Gd,TA,RFn,,207.9787503062427,1906.0,NA,NA,NA
239464,4395.0,1199.0,889,165,1962,1967,3,6,2,3,7,RM,NWAmes,1Story,PConc,Gd,Gd,Gd,Fin,47.712273058402026,153.15409987576774,1970.0,NA,NA,NA
189378,1999.0,2082.0,510,493,1977,1963,8,5,2,4,11,RL,ClearCr,2Story,PConc,Gd,Ex,TA,Fin,,79.73163123070358,1951.0,NA,NA,NA
134335,8344.0,666.0,1226,664,1957,1976,6,5,2,2,7,RL,NridgHt,2Story,PConc,TA,TA,Gd,NA,96.55635304421392,318.38174286082346,1953.0,NA,NA,NA
203884,15230.0,752.0,740,623,1999,1990,8,6,2,3,3,RL,Sawyer,1Story,CBlock,Gd,Gd,TA,Fin,,417.3662784288178,1937.0,NA,NA,NA
172617,22474.0,1568.0,137,288,1971,1996,7,5,2,3,5,RL,CollgCr,1Story,PConc,TA,TA,TA,Fin,20.75098579534078,83.98010657943414,,NA,NA,NA
244619,8284.0,1512.0,851,199,1965,1952,7,5,1,3,12,RM,NoRidge,1Story,PConc,Gd,Gd,Ex,Fin,,381.86258686598705,1963.0,NA,NA,NA
125389,8545.0,1141.0,1392,393,1947,1979,9,8,2,2,3,RL,SawyerW,2Story,PConc,Gd,Po,TA,RFn,,96.51362000928792,1905.0,NA,NA,NA
145646,21858.0,1904.0,845,763,1874,2008,4,1,2,3,11,RL,NWAmes,2Story,BrkTil,Gd,Gd,TA,Unf,58.27223504612147,253.97634013032172,1973.0,NA,NA,NA
141939,3562.0,1765.0,1695,579,1952,1985,7,5,1,4,5,RL,NAmes,1Story,PConc,Gd,Ex,Ex,Unf,66.92890466770639,223.92235775454657,1951.0,Ex,NA,Grvl
92465,8663.0,1929.0,1171,590,1976,1972,3,5,2,3,14,RL,Crawfor,1Story,Stone,TA,Ex,Gd,Fin,40.505093961464794,315.01474095604436,1943.0,NA,MnPrv,NA
186922,12261.0,1438.0,1135,627,1903,1967,6,6,2,2,14,RL,NoRidge,2Story,PConc,Gd,Gd,TA,RFn,,55.71074175327605,1935.0,NA,NA,NA
184318,14321.0,1801.0,948,534,1879,1995,4,6,1,2,12,RM,SWISU,SLvl,Slab,Ex,Ex,Po,RFn,61.958067502577805,222.4432211814106,1936.0,NA,NA,NA
166382,8055.0,1277.0,972,474,1958,1996,5,3,1,3,8,RM,BrkSide,1.5Fin,PConc,TA,Gd,TA,RFn,86.21530572657664,132.48488445343406,1963.0,NA,MnPrv,NA
151170,11166.0,2526.0,894,582,1901,1989,9,6,2,1,6,RL,NWAmes,1Story,PConc,Gd,Gd,Gd,RFn,,327.19947645848,,NA,GdWo,NA
94263,2457.0,1093.0,879,340,1945,2009,7,6,2,4,11,RL,ClearCr,2Story,CBlock,Gd,Gd,Gd,Unf,,256.49829377965204,1926.0,NA,NA,NA
140328,7369.0,2552.0,1212,167,1994,1959,9,5,2,3,5,RL,Blmngtn,2Story,Stone,TA,Gd,Gd,Fin,111.3402743774484,218.6411382621944,2008.0,NA,NA,NA
144771,14358.0,1517.0,625,594,1992,2005,6,4,2,3,11,RL,Gilbert,1.5Fin,CBlock,Gd,Gd,TA,Fin,92.16430425369953,98.36297616203598,1964.0,NA,MnPrv,Pave
120461,6067.0,812.0,569,697,1909,1961,7,6,2,4,11,RL,Gilbert,1.5Fin,PConc,TA,TA,TA,RFn,30.250913952149546,265.5370240133668,1900.0,NA,NA,NA
155668,11332.0,2184.0,550,226,1986,2002,2,5,2,2,4,RL,Blmngtn,1Story,PConc,Gd,Gd,TA,RFn,62.90554910580509,95.95875861944255,1947.0,NA,NA,NA
195168,14301.0,1562.0,1818,614,1980,1990,6,1,1,3,14,RL,SawyerW,1Story,PConc,Gd,TA,TA,RFn,,51.10410813546267,1984.0,NA,NA,NA
353088,8905.0,1925.0,1212,786,1949,1957,7,5,2,2,14,RL,SawyerW,1Story,PConc,TA,Gd,Gd,RFn,,106.26354739823473,1936.0,NA,NA,NA
178052,12115.0,2111.0,1121,449,1907,1981,1,2,1,2,14,RM,ClearCr,1Story,PConc,TA,TA,Gd,Fin,29.516478270260244,115.40215547178923,1991.0,NA,NA,NA
184060,6138.0,1668.0,576,286,1961,1966,8,5,1,2,7,FV,MeadowV,SLvl,PConc,Ex,Ex,TA,RFn,56.200526971729204,132.75423924461572,1948.0,NA,MnPrv,NA
161171,9662.0,1203.0,1249,474,1911,1990,5,5,2,5,3,RM,NoRidge,1Story,PConc,TA,Gd,TA,Fin,13.18870707256017,183.54568814432147,1954.0,NA,NA,NA
77071,15774.0,1987.0,953,339,1945,1994,6,5,2,3,5,RL,Somerst,1Story,CBlock,Gd,Gd,Gd,RFn,,183.60145638034285,1938.0,NA,NA,NA
164290,12018.0,1500.0,1085,326,1917,1963,7,7,3,2,13,RL,OldTown,1.5Fin,PConc,Gd,TA,Gd,Fin,52.87696813760093,222.62465560071035,1935.0,NA,NA,NA
170091,7693.0,1842.0,609,536,1978,1986,10,5,2,3,9,RL,BrkSide,1Story,PConc,TA,TA,Gd,Unf,60.983851974299526,181.91280912752825,1965.0,NA,MnPrv,NA
444763,12513.0,423.0,1064,129,1971,1958,3,5,2,2,3,RL,SWISU,1Story,PConc,Gd,TA,TA,Unf,99.53687928527006,93.68226166581653,1965.0,NA,NA,NA
153745,16793.0,1723.0,830,161,1932,2006,7,8,2,0,10,RL,Blmngtn,1Story,PConc,Ex,TA,Gd,RFn,36.71496609150847,287.19467593505186,1967.0,NA,GdWo,NA
187328,3197.0,1180.0,693,453,1874,2007,7,7,2,4,3,RL,SWISU,2Story,PConc,Gd,TA,Gd,Fin,,98.37470906987453,1901.0,NA,NA,NA
163753,21926.0,2326.0,1293,445,1953,1975,3,5,2,2,9,RL,NoRidge,1Story,PConc,Ex,Ex,TA,Fin,41.455939312101414,196.57323734914237,1964.0,NA,NA,NA
104039,8939.0,1811.0,384,518,1878,1997,7,5,2,5,9,RH,Timber,1Story,BrkTil,Gd,TA,Gd,Fin,96.78340198853195,346.3841173893317,2003.0,NA,NA,NA
262269,14119.0,1619.0,1225,825,1902,2000,5,5,2,3,8,RL,OldTown,1Story,PConc,Gd,Gd,NA,Fin,98.28093050012524,133.77398118368245,1917.0,NA,NA,NA
224307,22434.0,1743.0,1273,470,1936,1973,4,7,2,2,14,RL,OldTown,2Story,PConc,TA,TA,Gd,Fin,79.00188164693928,71.42191186747773,1940.0,NA,NA,NA
227843,4802.0,1000.0,648,569,1966,1972,4,1,1,2,11,RL,Veenker,1Story,PConc,Gd,Ex,Gd,RFn,77.70724006595484,62.89465640742738,1997.0,NA,MnWw,NA
115409,7146.0,2311.0,671,254,1935,1980,8,5,2,3,7,RL,NWAmes,1.5Fin,PConc,Gd,Gd,Gd,NA,39.99154436265708,89.96245398410557,1990.0,Gd,NA,NA
291011,9199.0,2495.0,910,603,1948,1988,4,7,2,3,2,RL,BrkSide,1Story,PConc,TA,Gd,Gd,Fin,74.97972467029184,69.14652778925033,1999.0,Ex,NA,NA
94774,6834.0,1696.0,1112,344,1874,1993,6,5,1,3,3,RL,Timber,1Story,PConc,TA,Gd,Gd,Fin,41.95223966203658,364.155096207756,1938.0,NA,NA,NA
209974,30975.0,2295.0,938,464,1964,2007,5,6,2,4,8,RL,ClearCr,2Story,PConc,Gd,TA,Gd,Unf,71.02984885465692,152.85427773666638,1925.0,NA,NA,NA
398786,6541.0,1215.0,1173,428,1906,1951,4,6,3,4,14,RM,NPkVill,1Story,CBlock,Fa,Gd,Gd,RFn,,621.10298046597,1974.0,NA,NA,NA
111723,7837.0,1101.0,1705,656,1886,1999,5,5,3,3,12,RL,Crawfor,1Story,CBlock,TA,TA,Gd,RFn,55.14582792549824,161.58881708517657,2003.0,NA,NA,NA
132386,12365.0,1520.0,796,188,1892,1967,6,5,1,4,5,RL,ClearCr,2Story,PConc,Gd,Gd,Gd,NA,70.70755897649943,30.666293727697784,1902.0,Gd,NA,NA
172794,5317.0,1717.0,313,0,1933,1965,5,5,2,2,10,RL,NWAmes,1Story,CBlock,TA,TA,Gd,RFn,,192.1982035037495,1948.0,NA,GdWo,NA
135755,8626.0,1303.0,1330,407,1954,1978,3,6,2,2,4,RL,Mitchel,2Story,PConc,TA,TA,TA,RFn,114.38642295250108,151.93510667230646,1927.0,NA,NA,NA
89298,13233.0,1768.0,1673,543,1875,1960,8,6,3,4,5,RL,Sawyer,1Story,PConc,Gd,Gd,TA,RFn,83.77462344112223,299.33306546682087,1999.0,NA,NA,NA
170659,8957.0,1653.0,1157,480,1938,1951,7,6,3,3,4,RL,BrDale,1.5Fin,PConc,Gd,TA,Gd,Fin,126.94974512761382,147.45073157226363,1915.0,NA,NA,NA
108562,10341.0,1000.0,564,696,1965,1963,4,2,2,3,8,RL,Gilbert,SFoyer,PConc,TA,Gd,Fa,RFn,75.0231259255888,148.61676924421673,1998.0,NA,NA,NA
200673,7961.0,1759.0,950,537,1929,1953,6,6,1,4,3,RM,Veenker,1Story,PConc,Gd,Gd,Gd,Fin,114.5971832479706,260.42467487190567,1921.0,Fa,NA,NA
114947,4408.0,1931.0,552,337,2001,1988,3,5,2,3,11,RL,NPkVill,2Story,CBlock,TA,Ex,Gd,RFn,80.88960219152366,109.175977185592,1979.0,NA,MnPrv,NA
308653,13265.0,1585.0,1257,0,1896,1983,7,5,2,2,13,RL,NridgHt,1Story,CBlock,Ex,TA,Gd,Fin,75.99473954404009,130.9363236883695,1996.0,NA,MnPrv,NA
121382,31349.0,2076.0,459,402,1882,2002,6,5,3,3,13,RL,NAmes,1.5Fin,CBlock,TA,Gd,TA,Fin,,297.3213999843655,1976.0,NA,NA,NA
145972,11059.0,891.0,879,655,1872,1995,4,6,2,4,3,RL,SawyerW,1Story,PConc,TA,Ex,Gd,Fin,77.47752394255268,45.82008689580236,1948.0,NA,NA,NA
229901,12520.0,1733.0,598,371,1919,1988,5,6,2,1,3,RL,Timber,2Story,PConc,TA,Gd,Ex,Fin,80.78946247307911,147.59281270446044,1927.0,NA,NA,NA
101483,16574.0,914.0,1050,455,1984,1958,6,5,2,3,13,RL,NoRidge,2Story,PConc,Gd,Gd,Ex,Fin,34.563680153684544,1.512499701694516,2007.0,NA,NA,NA
181858,5107.0,942.0,853,534,2009,1989,8,7,1,3,5,RL,Edwards,1Story,BrkTil,TA,TA,Gd,Unf,87.50135134568723,457.18935315277986,1915.0,NA,NA,Pave
280087,30379.0,1184.0,1070,246,1952,1990,4,4,2,2,9,RL,Edwards,1Story,CBlock,Gd,Gd,TA,RFn,32.90015468341245,162.0723258902116,1963.0,NA,NA,NA
